"ybtbipmqfgsrqargh.com","0","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"envvykfstan91.com","1","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"vcepgrqukcwjjs3.com","2","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"hrfgzfafabgxnxtmpk.com","3","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"karhbtghabtkek.com","4","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"zuhaoaxueehzg6.com","5","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"wkuypctohgsg6.com","6","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"zpfjfekhjfeuiclv4.com","7","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"qnpwfupeietpd8.com","8","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"dbdhqfexkkip0.com","9","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"duzgvnrcldjgmmj.com","10","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"ergpsbuhdxbl.com","11","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"gdvsuajurr24.com","12","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"vrvhxxylnpnybmxno.com","13","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"pdkzgfslijbsfvc.com","14","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"lcdthwtbbyxjb92.com","15","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"lxkluelqfuajqu.com","16","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"dpcbiflswejkcfllx.com","17","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"qelvijoucyjfij66.com","18","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"uootouaueschcrfm7l.com","19","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"jqsohbvxhfhqmnin.com","20","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"fwichmtpfzfwwqe.com","21","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"kbxmwqrmslz3.com","22","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"qvisqnekombq.com","23","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"qpvuxbfjcghiq.com","24","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"ootlffnefqjrjvvrne.com","25","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"rgztqgdlslkikmi9w.com","26","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"rwmijkczesqy54.com","27","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_76d78a7e"
"ibebomcvntpskxc.com","0","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_af56c9cd"
"vmjzldlrltquegctu.com","1","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_af56c9cd"
"uoenvxxjida0.com","2","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_af56c9cd"
"ffkkdgnynpdefbdx3.com","3","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_af56c9cd"
"hjfousgqnm5u.com","4","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_af56c9cd"
"xlrrnfqsyeagpbzxii.com","5","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_af56c9cd"
"yrdhivnitfbcfefo8.com","6","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_af56c9cd"
"rtyxuupcspwum.com","7","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_af56c9cd"
"rdhnjhxtwfekgjdc9.com","8","2015-01-30 00:00:00","2015-02-05 23:59:59","bedep_dga_af56c9cd"
